rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,late_delay,delay
505000,363965,mobile,canceled,,,,NaN,early
507750,269550,mobile,ended,-81.0,,,Early,early
508131,359049,connect,ended,70.0,,,60 < Late < 90,late
508865,299063,connect,canceled,,,,NaN,early
511440,313932,mobile,ended,,,,NaN,early
511626,398802,mobile,ended,-203.0,,,Early,early
511639,370585,connect,ended,-15.0,563782.0,570.0,Early,early
512303,371242,mobile,ended,-44.0,,,Early,early
512475,322502,mobile,canceled,,,,NaN,early
513434,256528,connect,ended,23.0,,,15 < Late < 30,late
513743,330658,mobile,canceled,,,,NaN,early
514161,366037,connect,canceled,,,,NaN,early
514257,402596,mobile,ended,214.0,,,Late > 120,late
515147,257466,mobile,ended,15.0,,,15 < Late < 30,late
516586,347394,mobile,canceled,,,,NaN,early
518282,364160,connect,ended,-81.0,,,Early,early
518366,397217,mobile,ended,-156.0,,,Early,early
518895,398816,mobile,ended,66.0,,,60 < Late < 90,late
518938,382243,mobile,ended,215.0,,,Late > 120,late
519491,312389,mobile,ended,58.0,545639.0,420.0,45 < Late < 60,late
519795,383720,connect,ended,-159.0,,,Early,early
520095,404496,mobile,ended,-16.0,,,Early,early
520285,243659,mobile,canceled,,,,NaN,early
521156,392479,mobile,ended,,537298.0,0.0,NaN,early
521191,224745,mobile,ended,1452.0,,,Late > 120,late
521352,403184,mobile,ended,-29.0,,,Early,early
521482,254172,mobile,canceled,,,,NaN,early
521734,190995,mobile,ended,-251.0,,,Early,early
522602,391287,mobile,ended,35.0,,,30 < Late < 45,late
522717,335353,mobile,ended,,,,NaN,early
523800,352799,mobile,ended,-345.0,,,Early,early
524408,380247,mobile,canceled,,,,NaN,early
524422,298040,mobile,canceled,,,,NaN,early
524806,337859,mobile,ended,-26.0,,,Early,early
525044,349751,mobile,ended,,510607.0,60.0,NaN,early
525817,351617,mobile,ended,22.0,,,15 < Late < 30,late
526798,356877,mobile,ended,-15.0,,,Early,early
527377,306450,connect,ended,52.0,,,45 < Late < 60,late
527569,314220,mobile,ended,-2.0,,,Early,early
527627,402562,connect,ended,-1.0,,,Early,early
528808,181625,connect,ended,-76.0,557404.0,330.0,Early,early
528974,373328,mobile,canceled,,,,NaN,early
529170,341798,mobile,canceled,,,,NaN,early
529193,374877,mobile,ended,15.0,,,15 < Late < 30,late
529288,381098,mobile,canceled,,,,NaN,early
529347,391792,mobile,ended,,,,NaN,early
529458,331480,mobile,ended,,,,NaN,early
529852,363433,mobile,ended,-68.0,,,Early,early
530646,259092,mobile,ended,-340.0,,,Early,early
530700,221171,mobile,ended,130.0,,,Late > 120,late
531158,404169,mobile,ended,29.0,,,15 < Late < 30,late
531507,355554,mobile,ended,-4.0,,,Early,early
531526,404562,mobile,ended,-160.0,,,Early,early
531955,317639,mobile,ended,-30.0,,,Early,early
531961,234356,mobile,ended,-47.0,,,Early,early
532245,361468,connect,ended,-63.0,,,Early,early
532416,275810,mobile,ended,-148.0,,,Early,early
532495,378257,mobile,ended,44.0,,,30 < Late < 45,late
