rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,late_delay
507750,269550,mobile,ended,-81.0,,,Early
508131,359049,connect,ended,70.0,,,60 < Late < 90
511626,398802,mobile,ended,-203.0,,,Early
511639,370585,connect,ended,-15.0,563782.0,570.0,Early
512303,371242,mobile,ended,-44.0,,,Early
513434,256528,connect,ended,23.0,,,15 < Late < 30
514257,402596,mobile,ended,214.0,,,Late > 120
515147,257466,mobile,ended,15.0,,,15 < Late < 30
518282,364160,connect,ended,-81.0,,,Early
518366,397217,mobile,ended,-156.0,,,Early
518895,398816,mobile,ended,66.0,,,60 < Late < 90
518938,382243,mobile,ended,215.0,,,Late > 120
519491,312389,mobile,ended,58.0,545639.0,420.0,45 < Late < 60
519795,383720,connect,ended,-159.0,,,Early
520095,404496,mobile,ended,-16.0,,,Early
521191,224745,mobile,ended,1452.0,,,Late > 120
521352,403184,mobile,ended,-29.0,,,Early
521734,190995,mobile,ended,-251.0,,,Early
522602,391287,mobile,ended,35.0,,,30 < Late < 45
523800,352799,mobile,ended,-345.0,,,Early
524806,337859,mobile,ended,-26.0,,,Early
525817,351617,mobile,ended,22.0,,,15 < Late < 30
526798,356877,mobile,ended,-15.0,,,Early
527377,306450,connect,ended,52.0,,,45 < Late < 60
527569,314220,mobile,ended,-2.0,,,Early
527627,402562,connect,ended,-1.0,,,Early
528808,181625,connect,ended,-76.0,557404.0,330.0,Early
529193,374877,mobile,ended,15.0,,,15 < Late < 30
529852,363433,mobile,ended,-68.0,,,Early
530646,259092,mobile,ended,-340.0,,,Early
530700,221171,mobile,ended,130.0,,,Late > 120
531158,404169,mobile,ended,29.0,,,15 < Late < 30
531507,355554,mobile,ended,-4.0,,,Early
531526,404562,mobile,ended,-160.0,,,Early
531955,317639,mobile,ended,-30.0,,,Early
531961,234356,mobile,ended,-47.0,,,Early
532245,361468,connect,ended,-63.0,,,Early
532416,275810,mobile,ended,-148.0,,,Early
532495,378257,mobile,ended,44.0,,,30 < Late < 45
532802,373061,mobile,ended,-98.0,,,Early
533294,364052,mobile,ended,-33.0,,,Early
533303,336902,mobile,ended,-340.0,,,Early
533380,314456,connect,ended,-167.0,,,Early
533442,389958,mobile,ended,31.0,,,30 < Late < 45
533670,320824,connect,ended,-6.0,556563.0,630.0,Early
533683,271380,mobile,ended,79.0,,,60 < Late < 90
533790,394562,mobile,ended,30.0,,,30 < Late < 45
534611,392176,mobile,ended,33.0,,,30 < Late < 45
534654,303652,mobile,ended,-52.0,,,Early
534789,395243,mobile,ended,44.0,,,30 < Late < 45
534820,373893,connect,ended,-576.0,,,Early
534827,404169,mobile,ended,-7.0,531158.0,90.0,Early
534926,390702,connect,ended,-178.0,,,Early
534943,358567,connect,ended,37.0,,,30 < Late < 45
534956,344594,mobile,ended,24.0,,,15 < Late < 30
535071,358480,mobile,ended,40.0,,,30 < Late < 45
535116,380364,mobile,ended,137.0,,,Late > 120
535139,384575,mobile,ended,249.0,,,Late > 120
535313,396552,mobile,ended,23.0,,,15 < Late < 30
535331,402083,connect,ended,-108.0,,,Early
535399,362659,mobile,ended,-6.0,,,Early
535514,348178,mobile,ended,-150.0,,,Early
535601,376381,mobile,ended,9.0,,,Late < 15
535611,397814,mobile,ended,68.0,535512.0,300.0,60 < Late < 90
535726,375944,connect,ended,38.0,,,30 < Late < 45
535738,398733,mobile,ended,-1.0,,,Early
535770,352436,mobile,ended,74.0,524703.0,60.0,60 < Late < 90
535821,381583,mobile,ended,-10.0,,,Early
536108,337311,mobile,ended,-843.0,,,Early
536343,369230,mobile,ended,780.0,,,Late > 120
536444,389785,connect,ended,-130.0,,,Early
536978,378931,mobile,ended,271.0,,,Late > 120
536990,193354,mobile,ended,-12.0,,,Early
537040,267735,mobile,ended,933.0,,,Late > 120
537082,359641,mobile,ended,1967.0,,,Late > 120
537277,342067,mobile,ended,-125.0,,,Early
537352,349280,mobile,ended,-96.0,,,Early
537381,338052,mobile,ended,205.0,,,Late > 120
537576,397470,mobile,ended,18.0,539005.0,0.0,15 < Late < 30
537627,390736,mobile,ended,48.0,,,45 < Late < 60
537677,389994,mobile,ended,266.0,,,Late > 120
537705,404731,mobile,ended,36.0,,,30 < Late < 45
537822,396544,mobile,ended,-35.0,,,Early
537923,313085,mobile,ended,80.0,,,60 < Late < 90
538105,243218,mobile,ended,-24.0,,,Early
538184,347242,mobile,ended,-129.0,,,Early
538194,380708,connect,ended,2.0,,,Late < 15
538251,401964,mobile,ended,-37.0,,,Early
538328,409359,mobile,ended,8.0,,,Late < 15
538437,408937,mobile,ended,-155.0,,,Early
538501,396281,mobile,ended,134.0,,,Late > 120
538569,406984,mobile,ended,-15.0,,,Early
538660,297511,mobile,ended,13.0,,,Late < 15
538678,351549,connect,ended,-348.0,,,Early
538852,311437,mobile,ended,-120.0,,,Early
538882,369219,mobile,ended,85.0,,,60 < Late < 90
539071,388231,mobile,ended,-35.0,,,Early
539196,347612,mobile,ended,66.0,,,60 < Late < 90
539262,359046,mobile,ended,32.0,,,30 < Late < 45
539369,390467,connect,ended,41.0,,,30 < Late < 45
539396,388032,mobile,ended,3.0,,,Late < 15
539451,355444,connect,ended,-536.0,,,Early
539688,369483,mobile,ended,216.0,,,Late > 120
539865,277766,mobile,ended,28.0,,,15 < Late < 30
539923,247971,mobile,ended,-51.0,,,Early
539995,258837,mobile,ended,93.0,,,90 < Late < 120
540018,245480,mobile,ended,-196.0,,,Early
